0,
-0.00162343,
0.004333467,
0.002945496,
-0.000329447,
-0.003217801,
-0.003317933,
-0.001055891,
-0.005673105,
2.04E-05,
-0.000569183,
0.00526513,
0.001152038,
0.005920623,
-0.002549481,
0.002603144,
-0.002963249,
-0.002566954,
-0.002308011,
0.001751958,
0.000978957,
0.003084479,
-0.002109345,
-0.00194607,
0.005310796,
0.000702672,
-0.001002749,
0.001025009,
-0.003292735,
0.000843416,
-0.002967566,
-0.001972009,
-0.003280544,
-0.002160267,
-0.000705159,
0.003823112,
-0.000380675,
-0.001777296,
-0.003097338,
0.001149005,
0.00163363,
-0.001138822,
0.001783711,
0.003547057,
-0.000157733,
0.004009377,
-9.50E-05,
-0.007873891,
0.004313441,
0.002205096,
0.001661883,
-0.000787348,
0.000287779,
-3.45E-05,
0.001833575,
-0.010747445,
-0.000171148,
0.008589162,
-0.003650568,
0.0007547,
-0.001999973,
0.004667141,
-0.000589397,
0.005152389,
0.001679565,
-0.003394422,
0.000989811,
0.000671912,
0.002294976,
-0.001831741,
0.000342541,
-0.000872745,
-0.001124858,
-0.005608188,
3.49E-05,
0.000298534,
0.005234835,
0.001605144,
-0.000771837,
0.000973768,
-0.001119293,
0.002198765,
0.001124558,
-0.00235831,
0.000505015,
0.005899538,
-0.000989906,
6.88E-05,
0.000526717,
-0.000279522,
0.001433306,
0.001167989,
0.000689961,
0.000371367,
-0.001470349,
0.002189621,
-0.001896599,
0.001824468,
